Distance (m),Barite (g/m^2),Brucite (g/m^2),Portlandite (g/m^2)
1.27E-1,1.64E-3,0.00E0,3.15E0
2.12E-1,1.44E-3,0.00E0,3.03E0
2.96E-1,1.26E-3,0.00E0,2.92E0
3.81E-1,1.08E-3,0.00E0,2.81E0
4.66E-1,9.19E-4,0.00E0,2.71E0
5.50E-1,7.66E-4,0.00E0,2.60E0
6.35E-1,6.24E-4,0.00E0,2.50E0
7.20E-1,4.93E-4,0.00E0,2.40E0
8.04E-1,3.75E-4,0.00E0,2.31E0
8.89E-1,2.70E-4,0.00E0,2.21E0
