Distance (m),Barite (g/m^2),Halite (g/m^2)
1.27E-1,3.96E-4,8.97E2
2.12E-1,3.56E-4,8.67E2
2.96E-1,3.31E-4,8.38E2
3.81E-1,3.14E-4,8.09E2
4.66E-1,3.02E-4,7.81E2
5.50E-1,2.98E-4,7.53E2
6.35E-1,2.98E-4,7.26E2
7.20E-1,3.05E-4,6.99E2
8.04E-1,3.15E-4,6.73E2
8.89E-1,3.31E-4,6.47E2
