Distance (m),Mn(mol/kgw) (mol),Fe(mol/kgw) (mol),B(mol/kgw) (mol),Cl(mol/kgw) (mol),Na(mol/kgw) (mol),S(6)(mol/kgw) (mol),Ca(mol/kgw) (mol),K(mol/kgw) (mol),Mg(mol/kgw) (mol),Sr(mol/kgw) (mol),Ba(mol/kgw) (mol),Li(mol/kgw) (mol),Zn(mol/kgw) (mol),Ni(mol/kgw) (mol),Cu(mol/kgw) (mol),Cd(mol/kgw) (mol),Co(mol/kgw) (mol),Pb(mol/kgw) (mol)
4.23E-2,5.436E-17,1.098E-15,1.214E-12,6.815E-9,6.970E-9,9.652E-10,1.885E-10,7.514E-11,6.610E-10,9.246E-13,7.818E-16,3.206E-13,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
1.27E-1,5.151E-17,1.040E-15,1.150E-12,6.458E-9,6.604E-9,9.146E-10,1.786E-10,7.120E-11,6.263E-10,8.760E-13,7.408E-16,3.038E-13,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
2.12E-1,4.866E-17,9.826E-16,1.086E-12,6.101E-9,6.239E-9,8.640E-10,1.687E-10,6.726E-11,5.917E-10,8.276E-13,6.998E-16,2.870E-13,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
2.96E-1,4.582E-17,9.253E-16,1.023E-12,5.745E-9,5.875E-9,8.136E-10,1.589E-10,6.334E-11,5.572E-10,7.793E-13,6.590E-16,2.702E-13,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
3.81E-1,4.299E-17,8.681E-16,9.596E-13,5.390E-9,5.512E-9,7.633E-10,1.491E-10,5.942E-11,5.227E-10,7.311E-13,6.182E-16,2.535E-13,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
4.66E-1,4.017E-17,8.110E-16,8.966E-13,5.035E-9,5.150E-9,7.131E-10,1.393E-10,5.552E-11,4.884E-10,6.831E-13,5.776E-16,2.369E-13,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
5.50E-1,3.735E-17,7.541E-16,8.337E-13,4.682E-9,4.788E-9,6.631E-10,1.295E-10,5.162E-11,4.541E-10,6.352E-13,5.371E-16,2.203E-13,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
6.35E-1,3.454E-17,6.974E-16,7.709E-13,4.330E-9,4.428E-9,6.132E-10,1.197E-10,4.774E-11,4.199E-10,5.874E-13,4.967E-16,2.037E-13,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
7.20E-1,3.173E-17,6.408E-16,7.084E-13,3.978E-9,4.069E-9,5.634E-10,1.100E-10,4.386E-11,3.858E-10,5.397E-13,4.564E-16,1.871E-13,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
8.04E-1,2.894E-17,5.843E-16,6.459E-13,3.628E-9,3.710E-9,5.138E-10,1.003E-10,4.000E-11,3.518E-10,4.921E-13,4.161E-16,1.707E-13,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
8.89E-1,2.615E-17,5.280E-16,5.837E-13,3.278E-9,3.352E-9,4.643E-10,9.066E-11,3.614E-11,3.179E-10,4.447E-13,3.760E-16,1.542E-13,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
