                 sim	               state	                soln	              dist_x	                time	                step	                  pH	                  pe	            reaction	                temp	            mass_H2O	                  Mn	                  Fe	                   B	                  Cl	                  Na	                S(6)	                  Ca	                   K	                  Mg	                  Sr	                  Ba	                  Li	           Anhydrite	         d_Anhydrite	           Aragonite	         d_Aragonite	            Arcanite	          d_Arcanite	            Artinite	          d_Artinite	              Barite	            d_Barite	          Bischofite	        d_Bischofite	            Bloedite	          d_Bloedite	             Brucite	           d_Brucite	            Burkeite	          d_Burkeite	             Calcite	           d_Calcite	          Carnallite	        d_Carnallite	           Celestite	         d_Celestite	            Dolomite	          d_Dolomite	            Epsomite	          d_Epsomite	          Gaylussite	        d_Gaylussite	           Glaserite	         d_Glaserite	          Glauberite	        d_Glauberite	          Goergeyite	        d_Goergeyite	              Gypsum	            d_Gypsum	              Halite	            d_Halite	         Hexahydrite	       d_Hexahydrite	             Huntite	           d_Huntite	             Kainite	           d_Kainite	           Kieserite	         d_Kieserite	            Labile_S	          d_Labile_S	         Leonhardite	       d_Leonhardite	             Leonite	           d_Leonite	           Magnesite	         d_Magnesite	          MgCl2_2H2O	        d_MgCl2_2H2O	          MgCl2_4H2O	        d_MgCl2_4H2O	          Mirabilite	        d_Mirabilite	              Natron	            d_Natron	        Nesquehonite	      d_Nesquehonite	        Pentahydrite	      d_Pentahydrite	          Pirssonite	        d_Pirssonite	          Polyhalite	        d_Polyhalite	         Portlandite	       d_Portlandite	           Schoenite	         d_Schoenite	             Sylvite	           d_Sylvite	           Syngenite	         d_Syngenite	          Thenardite	        d_Thenardite	           Teepleite	         d_Teepleite	        si_Anhydrite	        si_Aragonite	         si_Arcanite	         si_Artinite	           si_Barite	       si_Bischofite	         si_Bloedite	          si_Brucite	         si_Burkeite	          si_Calcite	       si_Carnallite	        si_Celestite	         si_Dolomite	         si_Epsomite	       si_Gaylussite	        si_Glaserite	       si_Glauberite	       si_Goergeyite	           si_Gypsum	           si_Halite	      si_Hexahydrite	          si_Huntite	          si_Kainite	        si_Kieserite	         si_Labile_S	      si_Leonhardite	          si_Leonite	        si_Magnesite	       si_MgCl2_2H2O	       si_MgCl2_4H2O	       si_Mirabilite	           si_Natron	     si_Nesquehonite	     si_Pentahydrite	       si_Pirssonite	       si_Polyhalite	      si_Portlandite	        si_Schoenite	          si_Sylvite	        si_Syngenite	       si_Thenardite	        si_Teepleite	
                   1	              i_soln	                   0	                 -99	                 -99	                 -99	  8.177661968811e+00	  2.679000000000e-01	                 -99	  2.450000000000e+01	  1.737815355638e+01	  5.884153011726e-09	  1.188130982531e-07	  1.313436106501e-04	  7.376712532421e-01	  7.543958175488e-01	  1.044716166382e-01	  2.040086697312e-02	  8.132873122897e-03	  7.154340100122e-02	  1.000714562405e-04	  8.461797758608e-08	  3.470149447306e-05	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	 -3.583184238993e-01	 -9.999990000000e+02	 -4.908866579354e+00	 -9.999990000000e+02	 -2.558525722515e-01	 -7.178639936193e+00	 -4.451049710694e+00	 -2.601255268575e+00	 -9.999990000000e+02	 -9.999990000000e+02	 -9.659904975767e+00	 -2.680602730482e-01	 -9.999990000000e+02	 -2.218117890268e+00	 -9.999990000000e+02	 -7.763865969005e+00	 -2.020885014137e+00	 -4.268128226714e-01	 -2.648794232904e-02	 -2.223320774313e+00	 -2.491414454605e+00	 -9.999990000000e+02	 -6.487895759590e+00	 -3.740119809899e+00	 -4.482098973539e+00	 -3.147290951161e+00	 -6.850186748282e+00	 -9.999990000000e+02	 -1.713109813559e+01	 -9.544482566547e+00	 -1.619951348136e+00	 -9.999990000000e+02	 -9.999990000000e+02	 -2.761077098986e+00	 -9.999990000000e+02	 -6.267632770278e+00	 -8.913089801409e+00	 -6.524759043932e+00	 -3.554332731850e+00	 -4.989299484785e+00	 -2.465869014784e+00	 -7.604786346113e+00	
                   1	              i_soln	                   1	                 -99	                 -99	                 -99	  7.000000000000e+00	  4.000000000000e+00	                 -99	  2.500000000000e+01	  1.737815355638e+01	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	
                   1	               react	                   0	                 -99	                   0	                   1	  8.175968585419e+00	  2.679000000000e-01	  9.057149147748e+00	  2.450000000000e+01	  1.721497995736e+01	  5.939926438504e-09	  1.199392779467e-07	  1.325885618332e-04	  7.446633306992e-01	  7.615464201600e-01	  1.054618594223e-01	  2.059423826342e-02	  8.209961227624e-03	  7.222153099359e-02	  1.010199917436e-04	  8.542003602486e-08	  3.503041543367e-05	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	 -3.536023561371e-01	 -9.999990000000e+02	 -4.900877996466e+00	 -9.999990000000e+02	 -2.517756208865e-01	 -7.167256023482e+00	 -4.437677308251e+00	 -2.600255465048e+00	 -9.999990000000e+02	 -9.999990000000e+02	 -9.641023778547e+00	 -2.635204719715e-01	 -9.999990000000e+02	 -2.213855484620e+00	 -9.999990000000e+02	 -7.747501377678e+00	 -2.007405512386e+00	 -3.953594219076e-01	 -2.200291643804e-02	 -2.215436064254e+00	 -2.487036528021e+00	 -9.999990000000e+02	 -6.475673985691e+00	 -3.735164278638e+00	 -4.460087079672e+00	 -3.142681982706e+00	 -6.837589196939e+00	 -9.999990000000e+02	 -1.711925213913e+01	 -9.532867611964e+00	 -1.612343123504e+00	 -9.999990000000e+02	 -9.999990000000e+02	 -2.756583651466e+00	 -9.999990000000e+02	 -6.245372041539e+00	 -8.912444982318e+00	 -6.512392534460e+00	 -3.546835447341e+00	 -4.976710355070e+00	 -2.457105580796e+00	 -7.590659915216e+00	
                   1	              transp	                   1	           0.0423333	                   0	                   0	  7.000000000000e+00	  4.000000000000e+00	  9.057149147748e+00	  2.500000000000e+01	  1.737815355638e+01	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	
                   1	              transp	                   2	               0.127	                   0	                   0	  7.000000000000e+00	  4.000000000000e+00	  8.952016761697e+00	  2.500000000000e+01	  1.737815355638e+01	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	
                   1	              transp	                   3	            0.211667	                   0	                   0	  7.000000000000e+00	  4.000000000000e+00	  8.846884375646e+00	  2.500000000000e+01	  1.737815355638e+01	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	
                   1	              transp	                   4	            0.296333	                   0	                   0	  7.000000000000e+00	  4.000000000000e+00	  8.741751989595e+00	  2.500000000000e+01	  1.737815355638e+01	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	
