Distance ($m$),Gypsum (g/m^2)
0.0423,0.0
0.127,0.0
0.212,0.0
0.296,0.0
0.381,0.0
0.466,1.05
0.55,8.29
0.635,8.02
0.72,7.76
0.804,7.5
0.889,7.26
0.974,7.02
