Distance (m),Dolomite (g/m^2),Goergeyite (g/m^2)
4.23E-2,5.110E1,0.000E0
1.27E-1,2.270E-1,0.000E0
2.12E-1,2.240E-1,0.000E0
2.96E-1,2.220E-1,0.000E0
3.81E-1,2.190E-1,0.000E0
4.66E-1,2.160E-1,0.000E0
5.50E-1,2.090E-1,5.250E-1
6.35E-1,1.640E-1,5.050E0
7.20E-1,1.620E-1,4.920E0
8.04E-1,1.610E-1,4.650E0
8.89E-1,1.600E-1,4.370E0
9.74E-1,1.600E-1,4.090E0
