Distance (m),Barite (g/m^2),Brucite (g/m^2),Halite (g/m^2),Portlandite (g/m^2)
1.27E-1,8.97E-4,1.56E-5,9.42E2,9.83E-2
2.12E-1,8.63E-4,1.49E-5,9.14E2,9.38E-2
2.96E-1,8.31E-4,1.43E-5,8.87E2,8.95E-2
3.81E-1,8.00E-4,1.37E-5,8.61E2,8.54E-2
4.66E-1,7.70E-4,1.32E-5,8.34E2,8.14E-2
5.50E-1,7.42E-4,1.27E-5,8.09E2,7.76E-2
6.35E-1,7.14E-4,1.22E-5,7.83E2,7.39E-2
7.20E-1,6.86E-4,1.17E-5,7.58E2,7.03E-2
8.04E-1,6.60E-4,1.12E-5,7.33E2,6.69E-2
8.89E-1,6.34E-4,1.07E-5,7.08E2,6.35E-2
