Distance (m),Barite (g/m^2),Dolomite (g/m^2),Halite (g/m^2)
1.27E-1,1.74E2,3.05E-2,1.04E3
2.12E-1,1.50E2,4.76E-2,8.81E2
2.96E-1,1.29E2,6.27E-2,7.56E2
3.81E-1,1.11E2,7.62E-2,6.47E2
4.23E-2,2.02E2,1.15E-2,1.22E3
4.66E-1,9.45E1,8.83E-2,5.51E2
5.50E-1,8.06E1,9.91E-2,4.66E2
6.35E-1,6.85E1,1.09E-1,3.91E2
7.20E-1,5.80E1,1.18E-1,3.24E2
8.04E-1,4.90E1,1.25E-1,2.72E2
8.89E-1,4.11E1,1.32E-1,2.26E2
