Time (s),Ca(mol/kgw),Mg(mol/kgw),Na(mol/kgw),Sr(mol/kgw),Cl(mol/kgw),S(6)(mol/kgw),Ba(mol/kgw),B(mol/kgw),K(mol/kgw)
3.95E1,5.427E-16,,,,,,,,
4.34E1,1.079E-9,4.481E-11,5.601E-7,2.260E-10,3.736E-7,5.785E-10,3.313E-11,1.387E-9,1.901E-9
4.74E1,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
5.13E1,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
5.52E1,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
5.92E1,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
6.31E1,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
6.71E1,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
7.10E1,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
7.50E1,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
7.89E1,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
8.29E1,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
8.68E1,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
9.08E1,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
9.47E1,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
