Distance ($m$),Barite (g/m^2),Calcite (g/m^2)
0.0423,35.3,11.8
0.127,0.00258,0.0939
0.212,0.00251,0.0927
0.296,0.00243,0.0916
0.381,0.00236,0.0904
0.466,0.00228,0.0892
0.55,0.00221,0.088
0.635,0.00214,0.0868
0.72,0.00207,0.0855
0.804,0.00201,0.0842
0.889,0.00194,0.0829
0.974,0.00187,0.0816
