Time ($s$),Gypsum (g/m^2)
35.9,0.0893
38.9,0.223
41.9,0.357
44.9,0.491
47.9,0.625
50.8,0.758
53.8,0.891
56.8,1.02
59.8,1.16
62.8,1.29
65.8,1.42
68.8,1.55
71.8,1.69
74.8,1.82
77.8,1.95
80.8,2.08
83.8,2.22
86.7,2.35
89.7,2.48
92.7,2.62
95.7,2.75
98.7,2.88
102.0,3.02
105.0,3.15
108.0,3.28
111.0,3.42
114.0,3.55
117.0,3.69
120.0,3.82
123.0,3.95
126.0,4.09
129.0,4.22
132.0,4.35
135.0,4.49
138.0,4.62
141.0,4.76
144.0,4.89
147.0,5.02
150.0,5.16
153.0,5.29
156.0,5.42
159.0,5.56
162.0,5.69
165.0,5.83
168.0,5.96
170.0,6.09
173.0,6.23
176.0,6.36
179.0,6.49
182.0,6.63
185.0,6.76
188.0,6.9
191.0,7.03
194.0,7.16
197.0,7.3
200.0,7.43
