Distance (m),Gypsum
0.127 m,0.00
0.212 m,0.00
0.296 m,0.00
0.381 m,0.00
0.466 m,0.439
0.550 m,8.21
0.635 m,7.98
0.720 m,7.71
0.804 m,7.45
0.889 m,7.19
