Distance (m),Gypsum
0.127 m,0.00
0.212 m,0.00
0.296 m,0.00
0.381 m,0.00
0.466 m,0.00
0.550 m,0.00
0.635 m,0.00
0.720 m,0.00
0.804 m,4.87
0.889 m,7.66
