Distance (m),Gypsum
0.127 m,9.51
0.212 m,9.21
0.296 m,8.92
0.381 m,8.63
0.466 m,8.34
0.550 m,8.06
0.635 m,7.79
0.720 m,7.52
0.804 m,7.25
0.889 m,6.98
