Distance (m),Barite (g/m^2),Calcite (g/m^2)
1.27E-1,2.59E-3,9.45E-2
2.12E-1,2.50E-3,9.28E-2
2.96E-1,2.41E-3,9.12E-2
3.81E-1,2.32E-3,8.94E-2
4.66E-1,2.24E-3,8.77E-2
5.50E-1,2.15E-3,8.59E-2
6.35E-1,2.07E-3,8.42E-2
7.20E-1,1.98E-3,8.23E-2
8.04E-1,1.90E-3,8.05E-2
8.89E-1,1.82E-3,7.87E-2
