Distance (m),Barite (g/m^2),Brucite (g/m^2),Portlandite (g/m^2)
1.27E-1,2.75E-3,0.00E0,4.20E0
2.12E-1,2.65E-3,0.00E0,4.06E0
2.96E-1,2.54E-3,0.00E0,3.93E0
3.81E-1,2.44E-3,0.00E0,3.79E0
4.66E-1,2.34E-3,0.00E0,3.66E0
5.50E-1,2.24E-3,0.00E0,3.53E0
6.35E-1,2.15E-3,0.00E0,3.40E0
7.20E-1,2.06E-3,0.00E0,3.27E0
8.04E-1,1.97E-3,0.00E0,3.15E0
8.89E-1,1.88E-3,0.00E0,3.03E0
