Distance ($m$),Gypsum (g/m^2)
0.0423,82.4
0.127,9.1
0.212,8.89
0.296,8.69
0.381,8.48
0.466,8.28
0.55,8.08
0.635,7.88
0.72,7.68
0.804,7.48
0.889,7.29
0.974,7.1
