Distance (m),Dolomite (g/m^2),Goergeyite (g/m^2)
1.27E-1,3.56E-1,0.00E0
2.12E-1,3.51E-1,0.00E0
2.96E-1,3.45E-1,0.00E0
3.81E-1,3.40E-1,0.00E0
4.66E-1,3.35E-1,0.00E0
5.50E-1,3.29E-1,0.00E0
6.35E-1,3.24E-1,0.00E0
7.20E-1,3.18E-1,0.00E0
8.04E-1,3.13E-1,0.00E0
8.89E-1,3.07E-1,0.00E0
