Distance (m),Gypsum (g/m^2)
4.23E-2,2.740E1
1.27E-1,9.050E0
2.12E-1,8.850E0
2.96E-1,8.640E0
3.81E-1,8.430E0
4.66E-1,8.230E0
5.50E-1,8.030E0
6.35E-1,7.830E0
7.20E-1,7.640E0
8.04E-1,7.440E0
8.89E-1,7.250E0
9.74E-1,7.060E0
