Distance (m),Gypsum (g/m^2)
1.27E-1,9.51E0
2.12E-1,9.21E0
2.96E-1,8.92E0
3.81E-1,8.63E0
4.66E-1,8.34E0
5.50E-1,8.06E0
6.35E-1,7.79E0
7.20E-1,7.52E0
8.04E-1,7.25E0
8.89E-1,6.98E0
