Distance (m),Gypsum (g/m^2)
1.27E-1,9.60E0
2.12E-1,9.32E0
2.96E-1,9.05E0
3.81E-1,8.78E0
4.66E-1,8.52E0
5.50E-1,8.26E0
6.35E-1,8.00E0
7.20E-1,7.74E0
8.04E-1,7.49E0
8.89E-1,7.24E0
