Distance (m),Barite (g/m^2),Celestite (g/m^2),Goergeyite (g/m^2),Gypsum (g/m^2)
1.27E-1,0.00E0,0.00E0,0.00E0,7.30E1
2.12E-1,0.00E0,0.00E0,0.00E0,7.20E1
2.96E-1,0.00E0,0.00E0,2.32E0,6.87E1
3.81E-1,0.00E0,0.00E0,7.45E1,0.00E0
4.66E-1,0.00E0,0.00E0,7.41E1,0.00E0
5.50E-1,3.25E-4,4.17E-1,7.34E1,0.00E0
6.35E-1,6.55E-4,6.45E-1,7.27E1,0.00E0
7.20E-1,6.50E-4,6.49E-1,7.21E1,0.00E0
8.04E-1,6.34E-4,6.51E-1,7.12E1,0.00E0
8.89E-1,5.94E-4,6.41E-1,6.90E1,0.00E0
