Distance (m),Barite (g/m^2),Halite (g/m^2)
1.27E-1,4.09E-4,8.85E2
2.12E-1,3.68E-4,8.58E2
2.96E-1,3.42E-4,8.31E2
3.81E-1,3.22E-4,8.05E2
4.66E-1,3.08E-4,7.79E2
5.50E-1,3.01E-4,7.53E2
6.35E-1,2.98E-4,7.28E2
7.20E-1,3.02E-4,7.03E2
8.04E-1,3.08E-4,6.79E2
8.89E-1,3.21E-4,6.55E2
