Distance (m),Barite (g/m^2),Brucite (g/m^2),Calcite (g/m^2)
4.23E-2,6.690E-3,1.320E1,0.000E0
1.27E-1,7.150E-4,4.970E-2,0.000E0
2.12E-1,6.750E-4,4.780E-2,0.000E0
2.96E-1,6.370E-4,4.600E-2,0.000E0
3.81E-1,6.000E-4,4.420E-2,0.000E0
4.66E-1,5.640E-4,4.250E-2,0.000E0
5.50E-1,5.300E-4,4.080E-2,0.000E0
6.35E-1,4.960E-4,3.910E-2,0.000E0
7.20E-1,4.640E-4,3.760E-2,0.000E0
8.04E-1,4.340E-4,3.580E-2,2.710E-3
8.89E-1,4.040E-4,3.410E-2,6.960E-3
9.74E-1,3.760E-4,3.270E-2,6.480E-3
