Time (s),Mn(mol/kgw),Fe(mol/kgw),B(mol/kgw),Cl(mol/kgw),Na(mol/kgw),S(6)(mol/kgw),Ca(mol/kgw),K(mol/kgw),Mg(mol/kgw),Sr(mol/kgw),Ba(mol/kgw),Li(mol/kgw),Zn(mol/kgw),Ni(mol/kgw),Cu(mol/kgw),Cd(mol/kgw),Co(mol/kgw),Pb(mol/kgw)
4.34E1,1.2367912428588435e-14,2.4973347763636014e-13,2.760713855244816e-10,1.5505126129426575e-06,1.58566600653023e-06,2.1925696591534938e-07,4.25484969836217e-08,1.709450151553617e-08,1.503772109021438e-07,2.1034038457471243e-10,1.7785868834337676e-13,7.293913736228163e-11,,,,,,
4.74E1,6.556912371944985e-09,1.3239748734126456e-07,0.00014636066464310883,0.822012234753783,0.8406489871290415,0.11525888447727091,0.021575981007915433,0.009062737881325472,0.07972325162512509,0.00011151303648858336,9.429269820558391e-08,3.866905873819109e-05,,,,,,
5.13E1,6.556924405946829e-09,1.323977303324013e-07,0.00014636093326108498,0.8220137434054473,0.8406505299850308,0.11525892752472615,0.021575852117708617,0.009062754514307436,0.07972339794243086,0.00011151324115016524,9.42928712624209e-08,3.866912970810792e-05,,,,,,
5.52E1,6.5569244136021335e-09,1.3239773048697702e-07,0.00014636093343197248,0.8220137443651921,0.8406505309665476,0.11525889530780119,0.02157581979141664,0.009062754524888833,0.07972339803550994,0.00011151324128035663,9.429287137251787e-08,3.866912975325714e-05,,,,,,
5.92E1,6.556924487349694e-09,1.3239773197609943e-07,0.00014636093507803296,0.8220137536107539,0.8406505404215427,0.11525858445249103,0.021575507882318753,0.009062754626820166,0.07972339893217652,0.00011151324253460332,9.429287243299712e-08,3.8669130188175614e-05,,,,,,
6.31E1,6.556924625672996e-09,1.3239773476912877e-07,0.0001463609381656248,0.8220137709517449,0.8406505581556853,0.11525800141160192,0.02157492286511525,0.009062754818005682,0.0797234006139998,0.0001115132448870578,9.429287442218651e-08,3.866913100392973e-05,,,,,,
6.71E1,6.556924847110611e-09,1.32397739240409e-07,0.00014636094310846247,0.8220137987124387,0.8406505865457713,0.11525706803810623,0.021573986327794413,0.009062755124069134,0.07972340330638367,0.00011151324865303463,9.429287760661769e-08,3.8669132309846454e-05,,,,,,
7.10E1,6.556925161068155e-09,1.3239774557985228e-07,0.00014636095011648855,0.8220138380719455,0.8406506267976385,0.11525574468791666,0.021572658491889017,0.009062755558010255,0.07972340712368403,0.00011151325399249129,9.42928821215436e-08,3.866913416139407e-05,,,,,,
7.50E1,6.556925565165812e-09,1.3239775373941037e-07,0.0001463609591365863,0.8220138887319377,0.8406506786061964,0.11525404139162061,0.021570949421986764,0.0090627561165399,0.07972341203696702,0.00011151326086495572,9.42928879327413e-08,3.866913654453923e-05,,,,,,
7.89E1,6.556926045672076e-09,1.323977634418125e-07,0.00014636096986224176,0.8220139489709448,0.8406507402109483,0.11525201602853608,0.02156891719359605,0.00906275678067888,0.07972341787927557,0.00011151326903689574,9.429289484274157e-08,3.866913937829933e-05,,,,,,
