Distance (m),Gypsum (g/m^2)
1.27E-1,9.74E0
2.12E-1,9.43E0
2.96E-1,9.14E0
3.81E-1,8.84E0
4.66E-1,8.55E0
5.50E-1,8.27E0
6.35E-1,7.98E0
7.20E-1,7.71E0
8.04E-1,7.43E0
8.89E-1,7.16E0
