Distance (m),Dolomite (g/m^2),Siderite (g/m^2)
4.23E-2,7.390E1,9.620E-1
1.27E-1,6.550E0,1.550E-1
2.12E-1,6.790E0,1.570E-1
2.96E-1,7.050E0,1.590E-1
3.81E-1,7.320E0,1.600E-1
4.66E-1,7.620E0,1.600E-1
5.50E-1,7.950E0,1.600E-1
6.35E-1,8.310E0,1.580E-1
7.20E-1,8.710E0,1.550E-1
8.04E-1,9.160E0,1.480E-1
8.89E-1,9.680E0,1.370E-1
9.74E-1,1.030E1,1.190E-1
