Distance ($m$),Gypsum (g/m^2)
0.0423,94.8
0.127,9.6
0.212,9.38
0.296,9.16
0.381,8.94
0.466,8.73
0.55,8.52
0.635,8.31
0.72,8.1
0.804,7.9
0.889,7.7
0.974,7.5
