Time (s),Ca(mol/kgw),Mg(mol/kgw),Na(mol/kgw),Sr(mol/kgw),Cl(mol/kgw),S(6)(mol/kgw),Fe(mol/kgw)
5.46E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
5.54E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
5.62E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
5.70E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
5.79E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
5.87E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
5.95E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
6.03E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
6.11E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
6.19E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
6.27E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
6.36E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
6.44E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
6.52E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
6.60E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
6.68E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
6.76E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
6.85E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
6.93E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
7.01E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
7.09E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
7.17E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
7.25E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
7.33E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
7.42E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
7.50E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
7.58E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
