Distance (m),Gypsum
0.127 m,9.22
0.212 m,8.94
0.296 m,8.65
0.381 m,8.37
0.466 m,8.10
0.550 m,7.82
0.635 m,7.56
0.720 m,7.29
0.804 m,7.03
0.889 m,6.78
