Distance (m),Gypsum (g/m^2)
4.23E-2,0.000E0
1.27E-1,0.000E0
2.12E-1,0.000E0
2.96E-1,1.770E0
3.81E-1,1.100E1
4.66E-1,9.700E0
5.50E-1,8.430E0
6.35E-1,7.200E0
7.20E-1,5.990E0
8.04E-1,4.820E0
8.89E-1,3.680E0
9.74E-1,2.570E0
