Distance (m),Mn(mol/kgw) (mol),Fe(mol/kgw) (mol),B(mol/kgw) (mol),Cl(mol/kgw) (mol),Na(mol/kgw) (mol),S(6)(mol/kgw) (mol),Ca(mol/kgw) (mol),K(mol/kgw) (mol),Mg(mol/kgw) (mol),Sr(mol/kgw) (mol),Ba(mol/kgw) (mol),Li(mol/kgw) (mol)
4.23E-2,5.440E-9,1.098E-7,1.214E-4,6.819E-1,6.974E-1,9.658E-2,1.886E-2,7.519E-3,6.614E-2,9.251E-5,7.823E-8,3.208E-5
1.27E-1,3.905E-9,7.885E-8,8.717E-5,4.896E-1,5.007E-1,6.933E-2,1.354E-2,5.397E-3,4.748E-2,6.641E-5,5.616E-8,2.303E-5
2.12E-1,2.114E-9,4.268E-8,4.719E-5,2.650E-1,2.710E-1,3.753E-2,7.329E-3,2.922E-3,2.570E-2,3.595E-5,3.040E-8,1.247E-5
2.96E-1,8.761E-10,1.769E-8,1.956E-5,1.098E-1,1.123E-1,1.555E-2,3.037E-3,1.211E-3,1.065E-2,1.490E-5,1.260E-8,5.167E-6
3.81E-1,2.849E-10,5.752E-9,6.359E-6,3.571E-2,3.652E-2,5.058E-3,9.876E-4,3.937E-4,3.464E-3,4.845E-6,4.096E-9,1.680E-6
4.66E-1,7.419E-11,1.498E-9,1.656E-6,9.301E-3,9.512E-3,1.317E-3,2.572E-4,1.025E-4,9.021E-4,1.262E-6,1.067E-9,4.375E-7
5.50E-1,1.571E-11,3.172E-10,3.507E-7,1.970E-3,2.014E-3,2.789E-4,5.447E-5,2.171E-5,1.910E-4,2.672E-7,2.259E-10,9.265E-8
6.35E-1,2.733E-12,5.518E-11,6.100E-8,3.426E-4,3.504E-4,4.852E-5,9.475E-6,3.777E-6,3.323E-5,4.648E-8,3.930E-11,1.612E-8
7.20E-1,3.930E-13,7.935E-12,8.772E-9,4.927E-5,5.038E-5,6.977E-6,1.363E-6,5.432E-7,4.778E-6,6.683E-9,5.651E-12,2.318E-9
8.04E-1,4.688E-14,9.466E-13,1.046E-9,5.877E-6,6.010E-6,8.323E-7,1.625E-7,6.479E-8,5.700E-7,7.973E-10,6.741E-13,2.765E-10
8.89E-1,4.640E-15,9.370E-14,1.036E-10,5.817E-7,5.949E-7,8.239E-8,1.609E-8,6.414E-9,5.642E-8,7.892E-11,6.673E-14,2.737E-11
