Distance ($m$),Barite (g/m^2),Halite (g/m^2)
0.0423,6160.0,38200.0
0.127,0.000573,911.0
0.212,0.000555,890.0
0.296,0.000538,869.0
0.381,0.000521,848.0
0.466,0.000504,827.0
0.55,0.000488,807.0
0.635,0.000472,786.0
0.72,0.000456,766.0
0.804,0.000441,746.0
0.889,0.000426,727.0
0.974,0.000412,708.0
