Distance ($m$),Anhydrite (g/m^2)
0.0423,189.0
0.127,6.92
0.212,6.76
0.296,6.6
0.381,6.44
0.466,6.28
0.55,6.13
0.635,5.98
0.72,5.82
0.804,5.67
0.889,5.52
0.974,5.38
