Time (s),Ca(mol/kgw),Mg(mol/kgw),Na(mol/kgw),Sr(mol/kgw),Cl(mol/kgw),S(6)(mol/kgw),Ba(mol/kgw),B(mol/kgw),K(mol/kgw)
4.34E1,1.080E-9,4.487E-11,5.610E-7,2.264E-10,3.742E-7,5.792E-10,3.300E-11,1.389E-9,1.904E-9
4.74E1,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
5.13E1,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
5.52E1,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
5.92E1,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
6.31E1,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
6.71E1,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
7.10E1,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
7.50E1,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
7.89E1,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
8.29E1,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
8.68E1,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
9.08E1,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
9.47E1,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
9.87E1,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
1.03E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
1.07E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
1.10E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
1.14E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
1.18E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
1.22E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
1.26E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
1.30E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
1.34E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
1.38E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
1.42E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
1.46E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
1.50E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
1.54E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
1.58E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
1.62E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
1.66E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
1.70E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
1.74E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
1.78E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
1.82E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
1.85E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
1.89E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
1.93E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
1.97E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
