Time (s),Mn(mol/kgw),Fe(mol/kgw),B(mol/kgw),Cl(mol/kgw),Na(mol/kgw),S(6)(mol/kgw),Ca(mol/kgw),K(mol/kgw),Mg(mol/kgw),Sr(mol/kgw),Ba(mol/kgw),Li(mol/kgw)
43.4,1.237e-14,2.498e-13,2.761e-10,1.551e-6,1.586e-6,2.193e-7,4.254e-8,1.710e-8,1.504e-7,2.104e-10,1.779e-13,7.295e-11
47.4,6.558e-9,1.324e-7,1.464e-4,0.8222,0.8408,0.1153,0.02158,9.065e-3,0.07974,1.115e-4,9.431e-8,3.868e-5
51.3,6.558e-9,1.324e-7,1.464e-4,0.8222,0.8408,0.1153,0.02158,9.065e-3,0.07974,1.115e-4,9.431e-8,3.868e-5
55.2,6.558e-9,1.324e-7,1.464e-4,0.8222,0.8408,0.1153,0.02158,9.065e-3,0.07974,1.115e-4,9.431e-8,3.868e-5
59.2,6.558e-9,1.324e-7,1.464e-4,0.8222,0.8408,0.1153,0.02158,9.065e-3,0.07974,1.115e-4,9.431e-8,3.868e-5
63.1,6.558e-9,1.324e-7,1.464e-4,0.8222,0.8408,0.1153,0.02157,9.065e-3,0.07974,1.115e-4,9.431e-8,3.868e-5
67.1,6.558e-9,1.324e-7,1.464e-4,0.8222,0.8408,0.1153,0.02157,9.065e-3,0.07974,1.115e-4,9.431e-8,3.868e-5
71.0,6.558e-9,1.324e-7,1.464e-4,0.8222,0.8408,0.1153,0.02157,9.065e-3,0.07974,1.115e-4,9.431e-8,3.868e-5
75.0,6.558e-9,1.324e-7,1.464e-4,0.8222,0.8408,0.1153,0.02157,9.065e-3,0.07974,1.115e-4,9.431e-8,3.868e-5
78.9,6.558e-9,1.324e-7,1.464e-4,0.8222,0.8408,0.1153,0.02157,9.065e-3,0.07974,1.115e-4,9.431e-8,3.868e-5
