time (sec),Ca(mol/kgw),Mg(mol/kgw),Na(mol/kgw),Sr(mol/kgw),Cl(mol/kgw),S(6)(mol/kgw),Fe(mol/kgw)
17.93,5.612173104955853e-09,4.306014185788543e-09,2.6498768607721033e-08,4.635177589157509e-11,3.1282513235784495e-08,7.317253928589504e-09,1.1188102118616818e-12
18.74,1.0722778867765503e-08,8.227194181679722e-09,5.062930717469767e-08,8.856103219173595e-11,5.976926683867119e-08,1.3980555183921316e-08,2.137630873537552e-12
19.56,1.960380946998146e-08,1.5041282600263026e-08,9.256250676165277e-08,1.6191079038016964e-10,1.0927254340660559e-07,2.5559805297679372e-08,3.908101517224799e-12
20.37,3.447404325321388e-08,2.6450666526793873e-08,1.6277468247256602e-07,2.847262721704736e-10,1.9215991634475348e-07,4.494788804824893e-08,6.872544897412062e-12
21.19,5.856475038086397e-08,4.493458081406647e-08,2.7652279070700834e-07,4.836950204552296e-10,3.2644263544259735e-07,7.635779256752311e-08,1.1675128253507016e-11
22.00,9.645935428427977e-08,7.400971782807915e-08,4.5544819474210095e-07,7.966722139206483e-10,5.376689155315119e-07,1.257654701460644e-07,1.922957624160587e-11
22.82,1.545073059453734e-07,1.1854777797592356e-07,7.295308380344531e-07,1.2760989165617594e-09,8.612308909356623e-07,2.0144945109163564e-07,3.08016785060097e-11
23.63,2.4131873980472945e-07,1.8515500100632953e-07,1.1394248408254564e-06,1.993087514707824e-09,1.3451218504514918e-06,3.1463578614836246e-07,4.8107901406091086e-11
24.45,3.6834532080480793e-07,2.8261782860078695e-07,1.7392010619087481e-06,3.042219019505771e-09,2.0531739057111386e-06,4.802553654940802e-07,7.343118230690114e-11
25.26,5.505512868411717e-07,4.2241777058672924e-07,2.5995155323740623e-06,4.547085306749834e-09,3.0687984129354546e-06,7.178188361601463e-07,1.09754704702103e-10
26.08,8.071770840961919e-07,6.19317314266818e-07,3.8112150813873926e-06,6.6665960951569705e-09,4.499242511713659e-06,1.052412243744734e-06,1.609141321157979e-10
26.89,1.1625962356886461e-06,8.92017368245318e-07,5.489383177900029e-06,9.602055952523231e-09,6.4803653505965015e-06,1.5158142334284399e-06,2.3176842845632637e-10
27.71,1.647264232386809e-06,1.2638853114021743e-06,7.777820269192033e-06,1.3605001325846774e-08,9.181927247957426e-06,2.1477332310391284e-06,3.283890233538102e-10
28.52,2.2987563452181735e-06,1.7637512683706269e-06,1.085394397829638e-05,1.8985771990676075e-08,1.2813374507621011e-05,2.997160562111793e-06,4.5826670445018805e-10
29.34,3.162889390362817e-06,2.4267687985170335e-06,1.4934085695507263e-05,2.612277587490817e-08,1.763009218843189e-05,4.1238330294712236e-06,6.305352459285924e-10
30.15,4.2949206808030235e-06,3.2953348074820958e-06,2.0279151619402766e-05,3.547239137953417e-08,2.394008711633525e-05,5.5997961283188635e-06,8.562104245458035e-10
30.97,5.760815726170905e-06,4.420062206688305e-06,2.720060840347868e-05,4.757943750102132e-08,3.211105410216273e-05,7.511056896477718e-06,1.148442740905929e-09
31.78,7.638574735676377e-06,5.8607976902897706e-06,3.6066746450858545e-05,6.308812961711714e-08,4.257776993048398e-05,9.959313433168533e-06,1.522781863374386e-09
32.60,1.0019606675070335e-05,7.687675998585996e-06,4.7309167742953775e-05,8.275342802853384e-08,5.5849752416861265e-05,1.3063746419607036e-05,1.9974505520879914e-09
33.41,1.3010138555904828e-05,9.982201213882084e-06,6.142944002302301e-05,1.0745267748943571e-07,7.251911585156269e-05,1.696285657611406e-05,2.5936256066709425e-09
34.23,1.6732646814098103e-05,1.2838345004661212e-05,7.900585527790043e-05,1.3819742917679324e-07,9.326854957008455e-05,2.1816330919665364e-05,3.3357232175462903e-09
35.04,2.132729707696402e-05,1.636365130591723e-05,0.00010070022782719338,1.7614533194132013e-07,0.00011887934328136572,2.7806919958475105e-05,4.2516859895229235e-09
35.86,2.695337832729817e-05,2.0680336700554873e-05,0.00012726466595729257,2.2261197728286136e-07,0.00015023938116493288,3.514230758135849e-05,5.373268848412297e-09
36.67,3.379071744608308e-05,2.5926375746025483e-05,0.00015954825090990616,2.790825822698678e-07,0.00018835102659756146,4.405695536438004e-05,6.736321036040651e-09
37.49,4.204106034119332e-05,3.2256560663628565e-05,0.00019850355810107918,3.472233964876552e-07,0.00023433882062874812,5.4813903311717505e-05,8.381061444040557e-09
38.30,5.1929406331326323e-05,3.9843525162265276e-05,0.000245192957627315,4.2889272291458435e-07,0.0002894569198986428,6.770650964983274e-05,1.0352344628875852e-08
39.11,6.370528313025253e-05,4.887872268700021e-05,0.0003007946343066537,5.261514482074128e-07,0.00035509620345940617,8.306011317525474e-05,1.2699914985291192e-08
39.93,7.764395064019128e-05,5.957335004548169e-05,0.0003666082715807047,6.41272985010588e-07,0.00043279098277533166,0.00010123360278239768,1.5478646727563336e-08
40.74,9.404752278535326e-05,7.215920814959294e-05,0.0004440603484302788,7.767525373470188e-07,0.0005242252548750509,0.00012262088013064953,1.8748767531715744e-08
41.56,0.00011324599776605355,8.688949249157289e-05,0.0005347090038841683,9.35315609640666e-07,0.000631238445035751,0.00014765220290852404,2.2576063920990474e-08
42.37,0.0001355981883577672,0.0001040395069282961,0.0006402484295742236,1.11992569019541e-06,0.0007558305923132791,0.00017679539777458588,2.703206672486151e-08
43.19,0.00016149254518545644,0.00012390729534940786,0.0007625127569561138,1.333791050740666e-06,0.000900166938511419,0.00021055693375757087,3.219421520221907e-08
