times,Ca(mol/kgw),Mg(mol/kgw),Na(mol/kgw),Sr(mol/kgw),Cl(mol/kgw),S(6)(mol/kgw),Fe(mol/kgw)
17.927612079367044,5.6513608066595e-09,4.336081469225567e-09,2.6683799578840487e-08,4.66754329729061e-11,3.150094730299568e-08,7.368347570727917e-09,1.1266224443116644e-12
18.742503537520093,1.0800325804842665e-08,8.286693096783362e-09,5.0995457381291985e-08,8.920150392723918e-11,6.020151706333728e-08,1.4081662298646026e-08,2.1530901802050414e-12
19.55739499567314,1.975019154681518e-08,1.5153596188529673e-08,9.325367303713351e-08,1.631197818159368e-10,1.1008848389353609e-07,2.575066092646255e-08,3.937283397279516e-12
20.372286453826188,3.4739082227794785e-08,2.6654021192266336e-08,1.6402610617743906e-07,2.8691526864698026e-10,1.9363725588421603e-07,4.52934507102894e-08,6.925381526959439e-12
21.187177911979234,5.902714964433873e-08,4.528936277655828e-08,2.787060824298285e-07,4.875140450348649e-10,3.290200703878882e-07,7.696067718351062e-08,1.1767309483176435e-11
22.002069370132283,9.723969112033926e-08,7.460844160636009e-08,4.5913267932015356e-07,8.03117132398489e-10,5.420185492554877e-07,1.2678288758356967e-07,1.9385139657870463e-11
22.81696082828533,1.5578529345401545e-07,1.195283308274765e-07,7.3556505947438e-07,1.2866540062721046e-09,8.683544525945695e-07,2.031157145769942e-07,3.105645066797993e-11
23.631852286438377,2.433556464394501e-07,1.867178446143579e-07,1.1490424197166188e-06,2.0099106308303936e-09,1.35647566252529e-06,3.172915422692699e-07,4.8513967274145076e-11
24.446743744591423,3.715124939951691e-07,2.850478842016192e-07,1.7541553742472802e-06,3.0683771759246866e-09,2.0708278759988786e-06,4.843847838203312e-07,7.406257154629917e-11
