Distance (m),Barite (g/m^2),Calcite (g/m^2)
1.27E-1,1.51E-3,1.49E-1
2.12E-1,1.31E-3,1.45E-1
2.96E-1,1.12E-3,1.41E-1
3.81E-1,9.46E-4,1.37E-1
4.66E-1,7.82E-4,1.33E-1
5.50E-1,6.30E-4,1.29E-1
6.35E-1,4.89E-4,1.25E-1
7.20E-1,3.61E-4,1.21E-1
8.04E-1,2.47E-4,1.17E-1
8.89E-1,1.49E-4,1.13E-1
