Distance (m),Anhydrite (g/m^2)
1.27E-1,6.96E0
2.12E-1,6.76E0
2.96E-1,6.56E0
3.81E-1,6.36E0
4.66E-1,6.17E0
5.50E-1,5.98E0
6.35E-1,5.79E0
7.20E-1,5.60E0
8.04E-1,5.42E0
8.89E-1,5.23E0
