Distance (m),Mn(mol/kgw),Fe(mol/kgw),B(mol/kgw),Cl(mol/kgw),Na(mol/kgw),S(6)(mol/kgw),Ca(mol/kgw),K(mol/kgw),Mg(mol/kgw),Sr(mol/kgw),Ba(mol/kgw),Li(mol/kgw)
0.0423 m,5.42e-9,1.09e-7,1.21e-4,0.680,0.695,0.0963,0.0188,7.49e-3,0.0659,9.22e-5,7.80e-8,3.20e-5
0.127 m,3.89e-9,7.86e-8,8.69e-5,0.488,0.499,0.0691,0.0135,5.38e-3,0.0473,6.62e-5,5.60e-8,2.30e-5
0.212 m,2.11e-9,4.25e-8,4.70e-5,0.264,0.270,0.0374,7.30e-3,2.91e-3,0.0256,3.58e-5,3.03e-8,1.24e-5
0.296 m,8.73e-10,1.76e-8,1.95e-5,0.109,0.112,0.0155,3.03e-3,1.21e-3,0.0106,1.48e-5,1.26e-8,5.15e-6
0.381 m,2.84e-10,5.73e-9,6.34e-6,0.0356,0.0364,5.04e-3,9.84e-4,3.92e-4,3.45e-3,4.83e-6,4.08e-9,1.67e-6
0.466 m,7.39e-11,1.49e-9,1.65e-6,9.27e-3,9.48e-3,1.31e-3,2.56e-4,1.02e-4,8.99e-4,1.26e-6,1.06e-9,4.36e-7
0.550 m,1.57e-11,3.16e-10,3.50e-7,1.96e-3,2.01e-3,2.78e-4,5.43e-5,2.16e-5,1.90e-4,2.66e-7,2.25e-10,9.24e-8
0.635 m,2.72e-12,5.50e-11,6.08e-8,3.41e-4,3.49e-4,4.84e-5,9.44e-6,3.76e-6,3.31e-5,4.63e-8,3.92e-11,1.61e-8
0.720 m,3.92e-13,7.91e-12,8.74e-9,4.91e-5,5.02e-5,6.96e-6,1.36e-6,5.41e-7,4.76e-6,6.66e-9,5.63e-12,2.31e-9
0.804 m,4.67e-14,9.44e-13,1.04e-9,5.86e-6,5.99e-6,8.30e-7,1.62e-7,6.46e-8,5.68e-7,7.95e-10,6.72e-13,2.76e-10
0.889 m,4.63e-15,9.34e-14,1.03e-10,5.80e-7,5.93e-7,8.21e-8,1.60e-8,6.39e-9,5.62e-8,7.87e-11,6.65e-14,2.73e-11
