Distance (m),Hydromagnesite (g/m^2)
4.23E-2,6.230E-2
1.27E-1,1.810E-3
2.12E-1,1.640E-3
2.96E-1,1.480E-3
3.81E-1,1.330E-3
4.66E-1,1.180E-3
5.50E-1,1.050E-3
6.35E-1,9.290E-4
7.20E-1,8.150E-4
8.04E-1,7.090E-4
8.89E-1,6.110E-4
9.74E-1,5.200E-4
