,sim,state,soln,dist_x,time,step,pH,pe,reaction,temp(C),Alk(eq/kgw),mu,mass_H2O,charge(eq),Li(mol/kgw),Na(mol/kgw),Mg(mol/kgw),Ca(mol/kgw),K(mol/kgw),Mn(mol/kgw),Fe(mol/kgw),Co(mol/kgw),Cu(mol/kgw),S(6)(mol/kgw),Cl(mol/kgw),F(mol/kgw),N(5)(mol/kgw),Ba(mol/kgw),B(mol/kgw),Sr(mol/kgw),Si(mol/kgw),C(4)(mol/kgw),Anhydrite,d_Anhydrite,Antarcticite,d_Antarcticite,Aphthitalite,d_Aphthitalite,Aragonite,d_Aragonite,Arcanite,d_Arcanite,Bischofite,d_Bischofite,Bloedite,d_Bloedite,Calcite,d_Calcite,Carnallite,d_Carnallite,Dolomite,d_Dolomite,Epsomite,d_Epsomite,Gypsum,d_Gypsum,Halite,d_Halite,Hexahydrite,d_Hexahydrite,Hydrohalite,d_Hydrohalite,Hydromagnesite,d_Hydromagnesite,Ikaite,d_Ikaite,Kieserite,d_Kieserite,Landsfordite,d_Landsfordite,Magnesite,d_Magnesite,Meridianite,d_Meridianite,Mirabilite,d_Mirabilite,Natron,d_Natron,Nesquehonite,d_Nesquehonite,Picromerite,d_Picromerite,Sylvite,d_Sylvite,Tachyhydrite,d_Tachyhydrite,Thenardite,d_Thenardite,Vaterite,d_Vaterite,si_Anhydrite,si_Antarcticite,si_Aphthitalite,si_Aragonite,si_Arcanite,si_Bischofite,si_Bloedite,si_Calcite,si_Carnallite,si_Dolomite,si_Epsomite,si_Gypsum,si_Halite,si_Hexahydrite,si_Hydrohalite,si_Hydromagnesite,si_Ikaite,si_Kieserite,si_Landsfordite,si_Magnesite,si_Meridianite,si_Mirabilite,si_Natron,si_Nesquehonite,si_Picromerite,si_Sylvite,si_Tachyhydrite,si_Thenardite,si_Vaterite
10,1,transp,8,0.635,0.0,0,7.0,4.0,41.3807879546148,25.0,1.1918799825795858e-09,1.0063319187707728e-07,13.171724160465171,-1.5699114362918337e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999
11,1,transp,9,0.7196666666666667,0.0,0,7.0,4.0,41.01458629129963,25.0,1.1918799825795858e-09,1.0063319187707728e-07,13.171724160465171,-1.5699114362918337e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999
12,1,transp,10,0.8043333333333333,0.0,0,7.0,4.0,40.648384627984456,25.0,1.1918799825795858e-09,1.0063319187707728e-07,13.171724160465171,-1.5699114362918337e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999
13,1,transp,11,0.889,0.0,0,7.0,4.0,40.282182964669275,25.0,1.1918799825795858e-09,1.0063319187707728e-07,13.171724160465171,-1.5699114362918337e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999
14,1,transp,12,0.9736666666666667,0.0,0,7.0,4.0,39.9159813013541,25.0,1.1918799825795858e-09,1.0063319187707728e-07,13.171724160465171,-1.5699114362918337e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999
15,1,transp,1,0.042333333333333334,203.82277127353643,45,11.402589530687914,4.0,43.944199597821026,25.0,0.004016364770523888,0.0684198222704999,12.643953691169715,-0.008461966340294974,0.0,0.03186328410596365,0.004122991752979004,0.0065181415129434515,0.0009086856063959765,0.0,0.0,0.0,0.0,0.004719092113915331,0.04126893727214554,0.0,0.0,0.0,0.0,0.0,0.0,7.380045829367358e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005259533807137672,1.1690588053812098e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1543694873223576,-9.358202764800602,-26.05911331679441,-1.014277971230248,-7.3093467871155156,-10.425644130183521,-9.265066843096092,-0.8705421300429261,-14.704019654984917,-1.8463542215461253,-3.766269370620849,-0.819079512447459,-4.64769584680038,-4.0204444746917165,-4.596256173799123,-1.7763568394002505e-15,-2.768901642920067,-5.438760977461037,-4.505295656039031,-1.5485151575912521,-4.341709771042385,-4.7813963536479775,-9.129650868199647,-4.266919548539983,-10.354429117885807,-5.51650549773969,-34.09672931374234,-5.703276001844642,-1.4369632888556136
16,1,transp,2,0.127,203.82277127353643,45,11.424768426060139,4.0,43.57799793450585,25.0,0.0042827995299596884,0.07292145603600815,11.856697024834164,-0.008461966340296195,0.0,0.033978930881049675,0.004396627477643803,0.006950930707728022,0.0009690201835332704,0.0,0.0,0.0,0.0,0.005032428679566766,0.04400909719290846,0.0,0.0,0.0,0.0,0.0,0.0,6.961171867794194e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.529753645770582e-05,3.5026513332537955e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1190568103450538,-9.287855291152463,-25.78808357667492,-1.0333048820804862,-7.241656466438686,-10.356672637360981,-9.163340490663929,-0.8895690408931642,-14.583558762132137,-1.8857840240722012,-3.7326286376340914,-0.7838513963744251,-4.596072218064056,-3.9867614612528235,-4.54471710596707,1.7763568394002505e-15,-2.7881822364831184,-5.404866561761468,-4.525909949975546,-1.56891804926709,-4.308238159864169,-4.713860380080331,-9.116454482459543,-4.287449281572227,-10.253055783770083,-5.46501609770945,-33.88818517173631,-5.635317223755643,-1.4559901997058518
17,1,transp,3,0.21166666666666667,203.82277127353643,45,11.448141539448676,4.0,43.21179627119068,25.0,0.0045844187870956645,0.07801395519391392,11.076037457979561,-0.008461966340298915,0.0,0.03637382865603607,0.004706389718642523,0.0074408451357097696,0.0010373185149194135,0.0,0.0,0.0,0.0,0.005387123542970888,0.047110939605650215,0.0,0.0,0.0,0.0,0.0,0.0,6.550458269495402e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3834020610817794e-05,3.241754843831611e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0818853076828283,-9.213453646908018,-25.501923030594142,-1.0532958369606042,-7.1701916823515965,-10.283766349027575,-9.05608926653701,-0.9095599957732823,-14.45616167363124,-1.9272612897434733,-3.697286944659524,-0.7467754519340914,-4.541430713030352,-3.951371989167311,-4.490171159155257,-1.7763568394002505e-15,-2.80845986602891,-5.369238194121227,-4.54763515632143,-1.590404360058244,-4.2730875833333855,-4.642571977370275,-9.102328537291829,-4.30907892969622,-10.146201527597484,-5.410525297541959,-33.66768427615938,-5.563551029936128,-1.4759811545859698
18,1,transp,4,0.29633333333333334,203.82277127353643,45,11.472861681424178,4.0,42.8455946078755,25.0,0.004928640885702354,0.08382144676971606,10.301975015363238,-0.008461966340300345,0.0,0.039106859420992256,0.005059895725376069,0.00799993004440807,0.0011152598127998877,0.0,0.0,0.0,0.0,0.005791897385086493,0.050650727746343244,0.0,0.0,0.0,0.0,0.0,0.0,6.147566686651607e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2464867632199833e-05,2.9909816079077675e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0426114956285906,-9.134449880887264,-25.198639449651147,-1.0743741553360415,-7.094456011387237,-10.20639389581724,-8.94258791352104,-0.9306383141487196,-14.320893122247147,-1.9710492393047723,-3.660025445401782,-0.7076104970187327,-4.48336416631382,-3.9140560613401294,-4.432213469577604,3.552713678800501e-15,-2.8298647558209833,-5.331650123446849,-4.570616930354484,-1.613113991244104,-4.2360437983534,-4.567039695014756,-9.087148385365987,-4.331951846590396,-10.03314992880594,-5.352629199368202,-33.43360903230131,-5.487474461886218,-1.497059472961407
19,1,transp,5,0.381,203.82277127353643,45,11.499113509302358,4.0,42.479392944560324,25.0,0.005325126652138548,0.09050547846601281,9.534509696941795,-0.00846196634030301,0.0,0.04225470438334199,0.005467065346728207,0.008643871794328286,0.0012050308922322798,0.0,0.0,0.0,0.0,0.0062581070290218446,0.05472777818036743,0.0,0.0,0.0,0.0,0.0,0.0,5.752128096882566e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1185586128004917e-05,2.7499739652543507e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0009397428012363,-9.050175649752697,-24.87581369791235,-1.09668963060893,-7.013846771550561,-10.123906697262282,-8.821955462466766,-0.952953789421608,-14.176612338553563,-2.0174672224301524,-3.6205787526429623,-0.6660638949025,-4.421376184979146,-3.874546793225749,-4.370350638954052,0.0,-2.852555683227237,-5.291827978554664,-4.595032314984785,-1.6372164990965992,-4.196847407016825,-4.486667416341596,-9.070763334793067,-4.356242080509574,-9.913031420854885,-5.290835614229576,-33.18398495192346,-5.406476429657447,-1.5193749482342955
