Distance (m),Anhydrite
0.127 m,7.05
0.212 m,6.83
0.296 m,6.61
0.381 m,6.40
0.466 m,6.19
0.550 m,5.98
0.635 m,5.77
0.720 m,5.57
0.804 m,5.37
0.889 m,5.17
