Distance ($m$),Barite (g/m^2),Calcite (g/m^2)
0.0423,3.09,23.4
0.127,0.0015,0.144
0.212,0.00133,0.141
0.296,0.00116,0.138
0.381,0.000999,0.134
0.466,0.000845,0.131
0.55,0.0007,0.128
0.635,0.000562,0.125
0.72,0.000432,0.122
0.804,0.000312,0.119
0.889,0.000202,0.116
0.974,0.000104,0.113
