Distance (m),Gypsum (g/m^2)
4.23E-2,8.140E1
1.27E-1,9.030E0
2.12E-1,8.810E0
2.96E-1,8.600E0
3.81E-1,8.390E0
4.66E-1,8.180E0
5.50E-1,7.970E0
6.35E-1,7.770E0
7.20E-1,7.570E0
8.04E-1,7.370E0
8.89E-1,7.170E0
9.74E-1,6.980E0
