Distance (m),Gypsum (g/m^2)
1.27E-1,9.16E0
2.12E-1,8.88E0
2.96E-1,8.60E0
3.81E-1,8.33E0
4.66E-1,8.07E0
5.50E-1,7.81E0
6.35E-1,7.55E0
7.20E-1,7.29E0
8.04E-1,7.04E0
8.89E-1,6.79E0
