Distance (m),Barite (g/m^2),Brucite (g/m^2),Halite (g/m^2),Portlandite (g/m^2)
4.23E-2,6.020E3,9.680E2,2.720E4,7.700E2
1.27E-1,8.220E-4,9.850E-6,9.330E2,7.220E-2
2.12E-1,7.940E-4,9.480E-6,9.100E2,6.920E-2
2.96E-1,7.680E-4,9.140E-6,8.870E2,6.640E-2
3.81E-1,7.430E-4,8.810E-6,8.650E2,6.360E-2
4.66E-1,7.180E-4,8.500E-6,8.430E2,6.100E-2
5.50E-1,6.940E-4,8.200E-6,8.220E2,5.840E-2
6.35E-1,6.710E-4,7.910E-6,8.010E2,5.590E-2
7.20E-1,6.480E-4,7.630E-6,7.800E2,5.360E-2
8.04E-1,6.260E-4,7.350E-6,7.590E2,5.130E-2
8.89E-1,6.050E-4,7.090E-6,7.380E2,4.900E-2
9.74E-1,6.050E-4,7.090E-6,7.380E2,4.900E-2
