Distance (m),Mn(mol/kgw),Fe(mol/kgw),B(mol/kgw),Cl(mol/kgw),Na(mol/kgw),S(6)(mol/kgw),Ca(mol/kgw),K(mol/kgw),Mg(mol/kgw),Sr(mol/kgw),Ba(mol/kgw),Li(mol/kgw)
0.0423 m,5.88e-9,1.19e-7,1.31e-4,0.738,0.754,0.104,0.0204,8.13e-3,0.0715,1.00e-4,8.46e-8,3.47e-5
0.127 m,5.88e-9,1.19e-7,1.31e-4,0.738,0.754,0.104,0.0204,8.13e-3,0.0715,1.00e-4,8.46e-8,3.47e-5
0.212 m,5.88e-9,1.19e-7,1.31e-4,0.738,0.754,0.104,0.0204,8.13e-3,0.0715,1.00e-4,8.46e-8,3.47e-5
0.296 m,5.88e-9,1.19e-7,1.31e-4,0.738,0.754,0.104,0.0204,8.13e-3,0.0715,1.00e-4,8.46e-8,3.47e-5
0.381 m,5.88e-9,1.19e-7,1.31e-4,0.738,0.754,0.104,0.0204,8.13e-3,0.0715,1.00e-4,8.46e-8,3.47e-5
0.466 m,5.88e-9,1.19e-7,1.31e-4,0.738,0.754,0.104,0.0204,8.13e-3,0.0715,1.00e-4,8.46e-8,3.47e-5
0.550 m,5.88e-9,1.19e-7,1.31e-4,0.738,0.754,0.104,0.0204,8.13e-3,0.0715,1.00e-4,8.46e-8,3.47e-5
0.635 m,5.88e-9,1.19e-7,1.31e-4,0.738,0.754,0.104,0.0204,8.13e-3,0.0715,1.00e-4,8.46e-8,3.47e-5
0.720 m,5.88e-9,1.19e-7,1.31e-4,0.738,0.754,0.104,0.0204,8.13e-3,0.0715,1.00e-4,8.46e-8,3.47e-5
0.804 m,5.88e-9,1.19e-7,1.31e-4,0.738,0.754,0.104,0.0204,8.13e-3,0.0715,1.00e-4,8.46e-8,3.47e-5
0.889 m,5.88e-9,1.19e-7,1.31e-4,0.738,0.754,0.104,0.0204,8.13e-3,0.0715,1.00e-4,8.46e-8,3.47e-5
