Distance (m),Barite (g/m^2),Calcite (g/m^2)
1.27E-1,2.76E-3,9.70E-2
2.12E-1,2.66E-3,9.53E-2
2.96E-1,2.57E-3,9.37E-2
3.81E-1,2.47E-3,9.20E-2
4.66E-1,2.38E-3,9.03E-2
5.50E-1,2.29E-3,8.86E-2
6.35E-1,2.20E-3,8.68E-2
7.20E-1,2.11E-3,8.50E-2
8.04E-1,2.02E-3,8.32E-2
8.89E-1,1.94E-3,8.14E-2
