Distance (m),Barite (g/m^2),Halite (g/m^2)
1.27E-1,6.03E-4,9.21E2
2.12E-1,5.81E-4,8.94E2
2.96E-1,5.60E-4,8.68E2
3.81E-1,5.39E-4,8.41E2
4.66E-1,5.19E-4,8.15E2
5.50E-1,4.99E-4,7.90E2
6.35E-1,4.80E-4,7.65E2
7.20E-1,4.61E-4,7.40E2
8.04E-1,4.42E-4,7.15E2
8.89E-1,4.25E-4,6.91E2
