Distance (m),Calcite (g/m^2),Siderite (g/m^2),Barite (g/m^2)
4.23E-2,0.000E0,2.630E0,3.140E-3
1.27E-1,0.000E0,8.280E-2,9.720E-4
2.12E-1,0.000E0,7.870E-2,9.240E-4
2.96E-1,0.000E0,7.460E-2,8.760E-4
3.81E-1,0.000E0,7.050E-2,8.310E-4
4.66E-1,0.000E0,6.650E-2,7.860E-4
5.50E-1,5.020E-1,3.450E-2,7.510E-4
6.35E-1,1.090E0,3.370E-3,7.160E-4
7.20E-1,1.150E0,3.480E-3,6.730E-4
8.04E-1,1.220E0,3.560E-3,6.320E-4
8.89E-1,1.310E0,3.600E-3,5.920E-4
9.74E-1,1.410E0,3.520E-3,5.530E-4
