Distance ($m$),Gypsum (g/m^2)
0.0423,27.3
0.127,9.01
0.212,8.81
0.296,8.62
0.381,8.42
0.466,8.22
0.55,8.03
0.635,7.84
0.72,7.65
0.804,7.46
0.889,7.28
0.974,7.1
