Distance (m),Ca(mol/kgw) (mol),Mg(mol/kgw) (mol),Na(mol/kgw) (mol),Sr(mol/kgw) (mol),Cl(mol/kgw) (mol),S(6)(mol/kgw) (mol),Fe(mol/kgw) (mol)
4.23E-2,1.886E-2,1.447E-2,8.903E-2,1.557E-4,1.051E-1,2.458E-2,3.759E-6
1.27E-1,2.006E-2,1.539E-2,9.471E-2,1.657E-4,1.118E-1,2.615E-2,3.999E-6
2.12E-1,2.145E-2,1.643E-2,1.011E-1,1.768E-4,1.193E-1,2.796E-2,4.268E-6
2.96E-1,2.173E-2,1.760E-2,1.083E-1,1.848E-4,1.279E-1,2.870E-2,4.573E-6
3.81E-1,2.204E-2,1.894E-2,1.165E-1,1.874E-4,1.376E-1,2.952E-2,4.920E-6
4.66E-1,2.237E-2,2.047E-2,1.260E-1,1.902E-4,1.487E-1,3.045E-2,5.319E-6
5.50E-1,2.274E-2,2.225E-2,1.369E-1,1.933E-4,1.617E-1,3.150E-2,5.782E-6
6.35E-1,2.314E-2,2.434E-2,1.498E-1,1.968E-4,1.769E-1,3.272E-2,6.325E-6
7.20E-1,2.359E-2,2.684E-2,1.651E-1,2.007E-4,1.950E-1,3.413E-2,6.973E-6
8.04E-1,2.410E-2,2.985E-2,1.837E-1,2.051E-4,2.169E-1,3.581E-2,7.756E-6
8.89E-1,2.468E-2,3.358E-2,2.066E-1,2.100E-4,2.439E-1,3.782E-2,8.724E-6
