Distance (m),Mn(mol/kgw) (mol),Fe(mol/kgw) (mol),B(mol/kgw) (mol),Cl(mol/kgw) (mol),Na(mol/kgw) (mol),S(6)(mol/kgw) (mol),Ca(mol/kgw) (mol),K(mol/kgw) (mol),Mg(mol/kgw) (mol),Sr(mol/kgw) (mol),Ba(mol/kgw) (mol),Li(mol/kgw) (mol)
4.23E-2,5.422E-9,1.095E-7,1.210E-4,6.797E-1,6.951E-1,9.626E-2,1.880E-2,7.494E-3,6.592E-2,9.221E-5,7.797E-8,3.197E-5
1.27E-1,3.892E-9,7.859E-8,8.687E-5,4.879E-1,4.990E-1,6.910E-2,1.349E-2,5.379E-3,4.732E-2,6.619E-5,5.597E-8,2.295E-5
2.12E-1,2.107E-9,4.254E-8,4.703E-5,2.641E-1,2.701E-1,3.740E-2,7.304E-3,2.912E-3,2.562E-2,3.583E-5,3.030E-8,1.242E-5
2.96E-1,8.731E-10,1.763E-8,1.949E-5,1.095E-1,1.119E-1,1.550E-2,3.027E-3,1.207E-3,1.062E-2,1.485E-5,1.256E-8,5.149E-6
3.81E-1,2.839E-10,5.733E-9,6.337E-6,3.559E-2,3.640E-2,5.041E-3,9.843E-4,3.924E-4,3.452E-3,4.828E-6,4.083E-9,1.674E-6
4.66E-1,7.395E-11,1.493E-9,1.651E-6,9.270E-3,9.481E-3,1.313E-3,2.564E-4,1.022E-4,8.991E-4,1.258E-6,1.063E-9,4.361E-7
5.50E-1,1.566E-11,3.162E-10,3.495E-7,1.963E-3,2.008E-3,2.780E-4,5.429E-5,2.164E-5,1.904E-4,2.663E-7,2.252E-10,9.235E-8
6.35E-1,2.724E-12,5.500E-11,6.080E-8,3.415E-4,3.492E-4,4.836E-5,9.444E-6,3.765E-6,3.312E-5,4.633E-8,3.917E-11,1.606E-8
7.20E-1,3.917E-13,7.910E-12,8.744E-9,4.911E-5,5.022E-5,6.955E-6,1.358E-6,5.415E-7,4.763E-6,6.662E-9,5.634E-12,2.310E-9
8.04E-1,4.673E-14,9.436E-13,1.043E-9,5.859E-6,5.992E-6,8.297E-7,1.620E-7,6.459E-8,5.682E-7,7.948E-10,6.721E-13,2.756E-10
8.89E-1,4.626E-15,9.341E-14,1.033E-10,5.799E-7,5.931E-7,8.213E-8,1.604E-8,6.394E-9,5.625E-8,7.867E-11,6.653E-14,2.728E-11
