Distance (m),Brucite,Portlandite
0.127 m,1.20e-6,3.90
0.212 m,1.16e-6,3.77
0.296 m,1.12e-6,3.66
0.381 m,1.09e-6,3.54
0.466 m,1.05e-6,3.44
0.550 m,1.01e-6,3.33
0.635 m,9.77e-7,3.21
0.720 m,9.44e-7,3.10
0.804 m,9.12e-7,2.98
0.889 m,8.76e-7,2.89
