Concentration Factor (CF),Gypsum (g)
1.00707,0.0
1.01424,0.0
1.02152,0.0
1.0289,0.0
1.03639,0.0
1.04399,0.0
1.0517,0.0
1.05953,0.13750547194624918
1.06747,0.5968801034472827
1.07554,1.0568915923077977
1.08373,1.5175478430070093
1.09205,1.9788569187189349
1.1005,2.440827044208835
1.10908,2.9034666094983073
1.11779,3.3667841735926536
