Distance (m),Barite (g/m^2),Calcite (g/m^2)
4.23E-2,3.090E0,2.340E1
1.27E-1,1.510E-3,1.440E-1
2.12E-1,1.330E-3,1.410E-1
2.96E-1,1.160E-3,1.380E-1
3.81E-1,9.990E-4,1.350E-1
4.66E-1,8.440E-4,1.320E-1
5.50E-1,6.980E-4,1.280E-1
6.35E-1,5.590E-4,1.250E-1
7.20E-1,4.300E-4,1.220E-1
8.04E-1,3.100E-4,1.190E-1
8.89E-1,2.000E-4,1.160E-1
9.74E-1,1.020E-4,1.130E-1
