Distance (m),Mn(mol/kgw) (mol),Fe(mol/kgw) (mol),B(mol/kgw) (mol),Cl(mol/kgw) (mol),Na(mol/kgw) (mol),S(6)(mol/kgw) (mol),Ca(mol/kgw) (mol),K(mol/kgw) (mol),Mg(mol/kgw) (mol),Sr(mol/kgw) (mol),Ba(mol/kgw) (mol),Li(mol/kgw) (mol),Zn(mol/kgw) (mol),Ni(mol/kgw) (mol),Cu(mol/kgw) (mol),Cd(mol/kgw) (mol),Co(mol/kgw) (mol),Pb(mol/kgw) (mol)
4.23E-2,4.082E-9,8.242E-8,9.112E-5,5.117E-1,5.233E-1,7.248E-2,1.415E-2,5.642E-3,4.963E-2,6.942E-5,5.870E-8,2.407E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
1.27E-1,1.738E-9,3.509E-8,3.879E-5,2.178E-1,2.228E-1,3.085E-2,6.025E-3,2.402E-3,2.113E-2,2.955E-5,2.499E-8,1.025E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
2.12E-1,5.010E-10,1.012E-8,1.118E-5,6.280E-2,6.423E-2,8.894E-3,1.737E-3,6.924E-4,6.091E-3,8.520E-6,7.204E-9,2.954E-6,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
2.96E-1,1.056E-10,2.133E-9,2.358E-6,1.324E-2,1.354E-2,1.875E-3,3.662E-4,1.460E-4,1.284E-3,1.796E-6,1.519E-9,6.229E-7,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
3.81E-1,1.708E-11,3.449E-10,3.813E-7,2.142E-3,2.190E-3,3.033E-4,5.923E-5,2.361E-5,2.077E-4,2.905E-7,2.457E-10,1.007E-7,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
4.66E-1,2.183E-12,4.408E-11,4.873E-8,2.737E-4,2.799E-4,3.876E-5,7.568E-6,3.017E-6,2.654E-5,3.713E-8,3.139E-11,1.287E-8,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
5.50E-1,2.248E-13,4.538E-12,5.017E-9,2.818E-5,2.882E-5,3.991E-6,7.793E-7,3.107E-7,2.733E-6,3.823E-9,3.232E-12,1.326E-9,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
6.35E-1,1.889E-14,3.815E-13,4.217E-10,2.369E-6,2.422E-6,3.354E-7,6.550E-8,2.611E-8,2.297E-7,3.213E-10,2.717E-13,1.114E-10,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
7.20E-1,1.307E-15,2.640E-14,2.918E-11,1.639E-7,1.676E-7,2.321E-8,4.533E-9,1.807E-9,1.590E-8,2.223E-11,1.880E-14,7.710E-12,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
8.04E-1,7.482E-17,1.511E-15,1.670E-12,9.380E-9,9.592E-9,1.328E-9,2.594E-10,1.034E-10,9.097E-10,1.272E-12,1.076E-15,4.412E-13,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
8.89E-1,3.545E-18,7.158E-17,7.913E-14,4.444E-10,4.545E-10,6.294E-11,1.229E-11,4.900E-12,4.310E-11,6.029E-14,5.098E-17,2.091E-14,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
