Time (s),Mn(mol/kgw),Fe(mol/kgw),B(mol/kgw),Cl(mol/kgw),Na(mol/kgw),S(6)(mol/kgw),Ca(mol/kgw),K(mol/kgw),Mg(mol/kgw),Sr(mol/kgw),Ba(mol/kgw),Li(mol/kgw),Zn(mol/kgw),Ni(mol/kgw),Cu(mol/kgw),Cd(mol/kgw),Co(mol/kgw),Pb(mol/kgw)
1.34E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
1.38E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
1.42E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
1.46E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
1.50E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
1.54E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
1.58E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
1.62E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
1.66E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
1.70E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
1.74E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
1.78E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
1.82E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
1.85E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
1.89E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
1.93E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
1.97E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
2.01E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
2.05E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
2.09E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
2.13E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
2.17E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
2.21E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
2.25E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
2.29E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
2.33E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
2.37E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
2.41E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
2.45E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
2.49E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
2.53E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
2.57E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
2.60E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
2.64E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
2.68E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
2.72E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
2.76E2,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.155E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
