Distance (m),Gypsum (g/m^2)
1.27E-1,9.22E0
2.12E-1,8.94E0
2.96E-1,8.65E0
3.81E-1,8.37E0
4.66E-1,8.10E0
5.50E-1,7.82E0
6.35E-1,7.56E0
7.20E-1,7.29E0
8.04E-1,7.03E0
8.89E-1,6.78E0
