Distance (m),Gypsum (g/m^2)
4.23E-2,8.240E1
1.27E-1,9.140E0
2.12E-1,8.920E0
2.96E-1,8.710E0
3.81E-1,8.500E0
4.66E-1,8.280E0
5.50E-1,8.080E0
6.35E-1,7.870E0
7.20E-1,7.670E0
8.04E-1,7.460E0
8.89E-1,7.260E0
9.74E-1,7.070E0
