Distance (m),Brucite (g/m^2),Portlandite (g/m^2)
1.27E-1,1.26E-6,3.51E0
2.12E-1,1.22E-6,3.40E0
2.96E-1,1.18E-6,3.29E0
3.81E-1,1.14E-6,3.19E0
4.66E-1,1.10E-6,3.08E0
5.50E-1,1.07E-6,2.98E0
6.35E-1,1.03E-6,2.88E0
7.20E-1,9.95E-7,2.78E0
8.04E-1,9.59E-7,2.68E0
8.89E-1,9.24E-7,2.59E0
