Distance (m),Gypsum
0.127 m,0.00
0.212 m,0.00
0.296 m,0.00
0.381 m,4.53
0.466 m,10.6
0.550 m,10.1
0.635 m,9.71
0.720 m,9.29
0.804 m,8.89
0.889 m,8.51
